Name,Twitter Handle,Hometown,Miles from AA,First Offer,Last Offer,Official Visit,Last Official Visit,Attended Michigan,In-State
Justin Foster,Fosterkiddddd,"SHELBY, NC",637,0,0,0,0,0,0
Cordarrian Richardson,thegreatest_5,"MEMPHIS, TN",730,0,0,0,0,0,0
Omar Manning,TheOmarManning,"LANCASTER, TX",1175,0,0,0,0,0,0
Toneil Carter,CarterToneil,"HOUSTON, TX",1289,0,0,0,0,0,0
Nate McBride,nmcbride13,"VIDALIA, GA",874,0,0,0,0,0,0
Lynn Bowden,H_Huncho,"YOUNGSTOWN, OH",225,0,0,0,0,0,0
Aaron Banks,bigaaronbanks,"EL CERRITO, CA",2342,0,0,1,1,0,0
Leonard Warner,og_leo_,"SNELLVILLE, GA",731,0,0,0,0,0,0
Jaylen Harris,JHarris5_,"CLEVELAND, OH",167,0,0,0,0,0,0
Kendall Randolph,KendallRandolp1,"MADISON, AL",636,0,0,0,0,0,0
Oliver Martin,O_Martin3,"IOWA CITY, IA",446,0,0,0,0,1,0
Marcus Williamson,WW_Marcus,"BRADENTON, FL",1203,0,0,0,0,0,0
Marco Wilson,MJW_era,"FORT LAUDERDALE, FL",1351,0,0,0,0,0,0
Amir Riep,Riep_Amir,"CINCINNATI, OH",250,0,0,0,0,0,0
Hezekiah Jones,_hezekiahh,"STAFFORD, TX",1308,0,0,0,0,0,0
Jaylon Redd,CarsonBooyJay21,"RANCHO CUCAMONGA, CA",2200,1,0,0,0,0,0
Trey Sermon,treyera,"MARIETTA, GA",692,0,0,0,0,0,0
Sione Lund,LundSione,"SALT LAKE CITY, UT",1623,0,0,0,0,0,0
Henry Bainivalu,HBainivalu,"SEATTLE, WA",2308,0,0,0,0,0,0
Markquese Bell,MarkqueseB,"BRIDGETON, NJ",621,1,0,0,0,0,0
William Poole III,__wp3,"ATLANTA, GA",710,0,0,0,0,0,0
Shawn Robinson,Dshawn_12era,"DESOTO, TX",1181,0,0,0,0,0,0
LeAnthony Williams Jr.,LWilliams_4,"ROSWELL, GA",703,0,0,0,0,0,0
Ta'Quon Graham,quon_49,"TEMPLE, TX",1294,0,0,0,0,0,0
D'Antne Demery,bigmandemery,"BRUNSWICK, GA",937,0,0,0,0,0,0
Obinna Eze,MAJORBUSQUET,"NASHVILLE, TN",522,0,0,0,0,0,0
Kayden Lyles,Klyles60,"MIDDLETON, WI",400,0,1,0,0,0,0
Brett Neilon,brettn110,"RANCHO SANTA MARGARITA, CA",2244,0,0,0,0,0,0
Fred Hansard,Fred_Hansard56,"PRINCETON, NJ",614,0,0,0,0,0,0
Josh Ross,Joshua_Ross05,"WEST BLOOMFIELD, MI",37,0,0,1,1,1,1
Bruce Jordan-Swilling,BruceJSwilling,"NEW ORLEANS, LA",1052,0,0,0,0,0,0
Malcom Askew,MacAskew4,"MCCALLA, AL",729,0,0,0,0,0,0
Kennedy Brooks,offenseofmind,"MANSFIELD, TX",1200,0,0,0,0,0,0
Kevin Jarvis,kevinjarvis71,"PARK RIDGE, IL",266,0,0,0,0,0,0
Earnest Brown,ErnieBIV,"DENTON, TX",1169,0,0,0,0,0,0
Ryan Johnson,ryanjohnson_50,"MOBILE, AL",967,0,0,0,0,0,0
Trajan Bandy,BandyTrajan,"MIAMI, FL",1373,0,0,0,0,0,0
Colin Wilson,dagoku_kid3,"GREEN COVE SPRINGS, FL",1029,0,0,0,0,0,0
Tyler Johnson,TyJohnson87,"GILBERT, AZ",1954,0,0,0,0,0,0
David Adams,David_Adams1335,"PITTSBURGH, PA",284,0,0,0,0,0,0
James Hudson,__BallisLife2,"TOLEDO, OH",54,0,0,1,1,1,0
Langi Tuifua,LangiTuifua,"SOUTH JORDAN, UT",1630,0,0,0,0,0,0
Kasim Hill,Khillqb11,"WASHINGTON, DC",519,0,0,0,0,0,0
Terrel Bynum,TDBynum,"BELLFLOWER, CA",2241,0,0,0,0,0,0
Daquon Green,iamDG7,"TAMPA, FL",1166,0,1,0,0,0,0
Matt Bockhorst,MattBockhorst,"CINCINNATI, OH",250,0,0,0,0,0,0
CJ Holmes,CjHo1mes,"CHESHIRE, CT",694,0,0,0,0,0,0
Deron Irving-Bey,FatGlizzy__,"FLINT, MI",55,0,0,1,1,1,1
Jaylen Kelly-Powell,JKellypowell,"DETROIT, MI",44,0,0,1,1,1,1
Bo Melton,getbusy__bo,"EGG HARBOR CITY, NJ",640,0,0,0,0,0,0
Kai-Leon Herbert,KHerb17,"FORT LAUDERDALE, FL",1351,0,0,1,0,0,0
DeeJay Dallas,DeejayDallas5,"BRUNSWICK, GA",937,0,0,0,0,0,0
Breon Dixon,Breondixon_4,"SUWANEE, GA",729,0,0,0,0,0,0
Ellis Brooks,EllisBrooks35,"RICHMOND, VA",614,0,0,0,0,0,0
Corey Malone-Hatcher,CMH2017,"SAINT JOSEPH, MI",148,0,0,1,1,1,1
O'Maury Samuels,schmallz20,"LOS LUNAS, NM",1571,0,0,1,1,1,0
Elijah Gates,Elijahgatess,"BUENA PARK, CA",2240,0,0,0,0,0,0
CJ Cotman,CotmanCj,"CLEARWATER, FL",1188,0,0,0,0,0,0
Todd Sibley,ToddSib23,"AKRON, OH",190,0,0,0,0,0,0
Adrian Ealy,adrian_ealy,"GONZALES, LA",1105,0,0,0,0,0,0
Akial Byers,akial_byers,"FAYETTEVILLE, AR",865,0,0,0,0,0,0
