,Intercept,Name,Twitter Handle,Miles from AA,First Offer,Last Offer,OfficialVisit,Last Official Visit,Attended Michigan,In-State,screenName,michFavToAllTweetRatio,michTweetToAllTweetRatio,michOverallTweetRatio,michNativeRTweetRatio,michNativeTweetRatio,Logisitc Regression l1 Pred Label,Logisitc Regression l1 No Prob,Logisitc Regression l1 Yes Prob,Logisitc Regression l2 Pred Label,Logisitc Regression l2 No Prob,Logisitc Regression l2 Yes Prob,Random Forest Model Predicted Labels,Random Forest No Prob,Random Forest Yes Prob,XGB Predicted Labels,XGB No Prob,XGB Yes Prob
77,1,Nico Collins,lbg_nico7,704,0,0,1,0,1,0,lbg_nico7,15.03402114,11.16143725,0.074285714,0.128691983,0.009975062,0,0.69809936,0.30190064,0,0.725913218,0.274086782,0,0.688,0.312,0,0.5026661,0.49733388
87,1,Aaron Banks,bigaaronbanks,2342,0,0,1,1,0,0,bigaaronbanks,15.57138617,14.031477,0.043744532,0.056085919,0.009836066,0,0.786580958,0.213419042,0,0.833473084,0.166526916,1,0.448,0.552,0,0.5032445,0.49675545
113,1,James Hudson,__BallisLife2,54,0,0,1,1,1,0,__BallisLife2,0,0,0.027833002,0.057613169,0,1,0.143860385,0.856139615,1,0.118190445,0.881809555,1,0.384,0.616,1,0.49839634,0.50160366
118,1,Deron Irving-Bey,FatGlizzy__,55,0,0,1,1,1,1,FatGlizzy__,28.59670285,13.49046794,0.083894672,0.136316337,0.008928571,0,0.614412881,0.385587119,0,0.594044295,0.405955705,0,0.528,0.472,0,0.50248766,0.49751237
119,1,Jaylen Kelly-Powell,JKellypowell,44,0,0,1,1,1,1,JKellypowell,2.761300507,3.243980245,0.070752089,0.103938731,0.036322361,1,0.179302215,0.820697785,1,0.109060291,0.890939709,1,0.194,0.806,1,0.49839634,0.50160366
121,1,Kai-Leon Herbert,KHerb17,1351,0,0,1,0,0,0,KHerb17,10.9395418,8.555917941,0.074468085,0.105860113,0.016336056,0,0.725839647,0.274160353,0,0.754044455,0.245955545,0,0.662,0.338,0,0.5007532,0.49924678
125,1,O'Maury Samuels,shmallzxxiii,1571,0,0,1,1,1,0,shmallzxxiii,155.2862903,152.2125,0.009661836,0.031339031,0.001122334,0,0.999998863,1.14E-06,0,0.999999873,1.27E-07,0,0.84,0.16,0,0.5032445,0.49675545
142,1,JaRaymond Hall,hall_american,39,1,0,1,1,1,1,hall_american,0,0,0.001811594,0.005494505,0,1,0.142507575,0.857492425,1,0.081077066,0.918922934,1,0.188,0.812,1,0.49839634,0.50160366
152,1,Benjamin St-Juste,Benj_Juice,601,0,0,1,0,1,0,Benj_Juice,2.642857143,3,0.4,0.5,0.333333333,1,0.431741608,0.568258392,1,0.42638175,0.57361825,0,0.508,0.492,1,0.4985748,0.5014252
154,1,Chase Hayden,Chase_Hayden2,720,0,0,1,0,0,0,Chase_Hayden2,0,0,0.020576132,0.024975025,0,1,0.391096575,0.608903425,1,0.361926811,0.638073189,0,0.548,0.452,1,0.4985748,0.5014252
